game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
Duelyst,291410,6.016666667,82.0,82.0,81.0,80.0,4769.0,8/23/2016,,,,,,,,,,x,,x,,,,,x,,
Duelyst II,2004320,,,74.0,72.0,71.0,1614.0,12/16/2022,x,x,x,x,,,,,,x,,,,,,,x,,
Dungeon Defenders II,236110,4.633333333,,77.0,77.0,76.0,21219.0,6/20/2017,x,,,,,,x,,,,,,,x,,,,,
Dungeon of the ENDLESS™,249050,11.93333333,,88.0,87.0,86.0,9090.0,10/27/2014,x,x,,x,,,x,,,,,x,,x,,,,,
Dungeons 2,262280,0.833333333,70.0,78.0,77.0,75.0,2162.0,4/24/2015,x,x,x,x,,,,,,x,,x,,,,,,,
Dying Light,239140,9.366666667,87.0,95.0,95.0,94.0,298595.0,1/26/2015,x,x,x,x,,,x,,,,,x,,x,,,,x,
Eets Munchies,214550,,,83.0,78.0,76.0,159.0,3/11/2014,x,,,,,,,,,,,x,,,,,,x,
ELDEN RING,1245620,143.95,94.0,92.0,92.0,91.0,596244.0,2/24/2022,x,,,x,,,x,,,,,x,,,,,,,
Elsword,237310,3.0,,74.0,73.0,72.0,9382.0,7/2/2014,x,,,,,,x,,,,,,,,,,,,
Emily is Away,417860,,,88.0,88.0,86.0,31408.0,11/20/2015,x,x,x,,,,,,,,,,,,,,,,
ENDLESS™ Legend,289130,89.71666667,82.0,84.0,83.0,82.0,13797.0,9/18/2014,x,x,,x,,,,,,x,,x,,x,,,,,
ENDLESS™ Space - Definitive Edition,208140,,77.0,79.0,78.0,77.0,6460.0,7/4/2012,x,x,,x,,,,,,x,,x,,x,,,,,
Enter the Gungeon,311690,61.31666667,84.0,95.0,95.0,93.0,69621.0,4/5/2016,x,,x,x,,,x,,,,,x,,x,,,,,
Escape Simulator,1435790,13.03333333,82.0,94.0,94.0,91.0,12236.0,10/19/2021,x,x,x,x,,,x,,,x,,x,,x,,,,x,
Euro Truck Simulator 2,227300,6.85,79.0,97.0,97.0,96.0,556810.0,10/18/2012,x,x,x,x,,,x,,,,,x,,x,x,,,x,
Evolve Stage 2,273350,63.88333333,77.0,65.0,64.0,64.0,9245.0,2/10/2015,,,,,,,x,,,,,x,,,,,,,
Exoblast,725100,0.1,,79.0,75.0,74.0,313.0,1/31/2022,x,,,x,,,,,,,,,,,,,,,
F1 2015,286570,,61.0,63.0,62.0,62.0,8602.0,7/9/2015,,,,x,,,x,,,x,,x,,,,,,,
Faeria,397060,6.15,81.0,84.0,82.0,80.0,1367.0,3/8/2017,x,x,x,x,,,x,,,,,x,,,,,x,,
Fall Guys,1097150,25.33333333,80.0,81.0,81.0,80.0,476899.0,8/3/2020,,,,,,,x,,,,,,,,,,x,,
Fallout 4,377160,52.95,84.0,83.0,83.0,82.0,218208.0,11/9/2015,x,,,x,,,,,,,,x,,,,,,,
Fallout: A Post Nuclear Role Playing Game,38400,,89.0,94.0,94.0,91.0,11473.0,9/30/1997,x,,,x,,,,,,,,x,,,,,,,
Fallout: New Vegas,22380,29.76666667,84.0,96.0,96.0,95.0,156997.0,10/19/2010,x,,,x,,,,,,,,x,,,,,,,
Far Cry 3,220240,16.6,88.0,89.0,89.0,88.0,90181.0,12/4/2012,x,,,x,,,x,,,,,,,x,,,,,
FEZ,224760,0.766666667,91.0,93.0,93.0,90.0,10106.0,5/1/2013,x,x,x,x,,,,,,,,x,,,,,,,
Fibbage XL,448080,,,95.0,92.0,86.0,226.0,3/24/2016,x,x,x,x,,,,,,,,x,,,,,,,
FINAL FANTASY XIV Online,39210,1697.9,83.0,88.0,88.0,87.0,66792.0,2/18/2014,x,,,x,,,x,,,x,,x,,,,,,,
FINAL FANTASY XV WINDOWS EDITION,637650,22.68333333,,83.0,83.0,82.0,37745.0,3/6/2018,x,,,x,,,x,,,,,x,,,x,,,,
Fingerbones,391270,0.283333333,,79.0,78.0,76.0,3410.0,3/20/2014,x,,,,,,,,,,,,,,,,,,
Forager,751780,21.7,78.0,90.0,90.0,88.0,30655.0,4/18/2019,x,,,x,,,,x,,,,x,,,,,,,
Fortune-499,840610,,,100.0,94.0,84.0,45.0,5/10/2018,x,x,,,,,,,,,,x,,,,,,,
FPS Chess,2021910,0.733333333,,83.0,83.0,81.0,28441.0,7/16/2022,x,,,,,,,,,,,,,,,,,,
Fractured Space,310380,,79.0,77.0,76.0,75.0,13546.0,9/22/2016,x,,,,,x,x,,,,,,,,,,x,,
FTL: Faster Than Light,212680,36.25,84.0,95.0,95.0,93.0,55968.0,9/14/2012,x,x,x,x,,,,,,,,x,,x,,,,,
Fuse,257400,,,64.0,62.0,63.0,2210.0,11/6/2013,x,x,,,,,,,,,,,,,,,,,
FUSER™,1331440,17.21666667,,85.0,83.0,81.0,1420.0,11/10/2020,,,,x,,,x,,,,,x,,,,,,,
Game Character Hub,292230,0.3,,67.0,61.0,63.0,189.0,5/23/2014,x,,,,,,,,,,,,,,,,,,
GameGuru Classic,266310,,,72.0,70.0,69.0,1205.0,5/19/2015,x,,,,,,,,,,,,,,,,,x,
Garry's Mod,4000,1002.016667,,96.0,96.0,95.0,910371.0,11/29/2006,x,x,x,x,x,,x,,,x,,x,,x,,,,x,x
Geometry Dash,322170,58.41666667,,93.0,93.0,92.0,317393.0,12/22/2014,x,x,,x,,,,,,,,x,,,,,,x,
Ghost of Tsushima DIRECTOR'S CUT,2215430,,,,,,,5/16/2024,x,,,,,,x,,,,,,,,,,,,
GOAT OF DUTY,555000,,,89.0,87.0,83.0,544.0,7/10/2019,x,,,x,,,,,,,x,x,,,,,,,
God Of Weapons,2342950,,,86.0,85.0,83.0,3277.0,9/12/2023,x,,,x,,,,,,,,x,,,,,,,
Gorilla Tag,1533390,0.3,,93.0,93.0,91.0,16503.0,1/1/2023,x,,,,,,,,,x,,x,,,,,x,,
Gotham City Impostors Free to Play,206210,10.38333333,,85.0,84.0,83.0,11968.0,8/30/2012,,,,,,,x,,,,,x,,,,,,,
Guardians of Middle-earth,111900,6.0,56.0,27.0,23.0,31.0,395.0,8/29/2013,,,,x,,,x,,,,,x,,,,,,,
GUILTY GEAR -STRIVE-,1384160,126.3666667,85.0,91.0,91.0,89.0,33805.0,6/11/2021,x,,,x,,,,,,,,x,,x,,,,,
GUNDAM EVOLUTION,1816670,2.683333333,,53.0,52.0,53.0,20929.0,9/19/2022,,,,,,,x,,,,,x,,,,,x,,
Gunfire Reborn,1217060,36.21666667,,93.0,93.0,92.0,80190.0,11/17/2021,x,,,x,,,x,,,,,x,,x,,,,,
Gunpoint,206190,2.716666667,83.0,97.0,97.0,94.0,9608.0,6/3/2013,x,x,x,,x,,,,,,,x,,,x,,,x,
Guns of Icarus Alliance,608800,,,81.0,78.0,76.0,581.0,3/31/2017,x,x,x,,,,x,,,,,x,,,,,x,,
Guns of Icarus Online,209080,,64.0,91.0,90.0,88.0,8250.0,10/29/2012,x,x,x,x,,,x,,,,,x,,,,,,,
GWENT: The Witcher Card Game,1284410,5.316666667,80.0,88.0,88.0,86.0,19173.0,5/19/2020,x,,,,,,,,,x,,,,x,,,x,,
Hacknet,365450,1.1,82.0,93.0,93.0,91.0,15041.0,8/12/2015,x,x,x,,x,,,,,,,x,,x,,,,x,
Hades,1145360,78.91666667,93.0,98.0,98.0,97.0,229359.0,9/17/2020,x,x,,x,x,,,,,,,x,,,,,,,
Half-Life 2,220,5.583333333,96.0,97.0,97.0,96.0,150354.0,11/16/2004,x,x,x,x,x,,,,,,,x,,x,,,,,x
Half-Life 2: Lost Coast,340,,,89.0,88.0,87.0,10067.0,10/27/2005,,,,x,,,,x,,,,x,,,,,,,
Halls of Torment,2218750,14.3,,96.0,96.0,94.0,19911.0,5/24/2023,x,,x,x,,,,,,,x,x,,,,,,,
Halo Infinite,1240440,2.966666667,,70.0,70.0,69.0,169944.0,11/15/2021,x,,,x,,,x,,,x,,,,,,,x,x,
Halo: The Master Chief Collection,976730,11.7,,92.0,92.0,91.0,204083.0,12/3/2019,x,,,x,,,x,,,x,,x,,,,,,,
